1,2,3,4,5,6,7,8,PLAYER_ID,PLAYER_NAME,Cluster
0.07952907919412691,0.16591179712934861,0.07866777335877988,0.1995082458991352,0.08507419560844448,0.11849212586107577,0.1482789526668274,0.1245378302822617,2544,LeBron James,3
0.08287932115134276,0.14943670346977805,0.11826816450508655,0.18922263471706605,0.0376291724924867,0.1436285617858348,0.2151037397746814,0.0638317021037237,101108,Chris Paul,5
0.02707055343372719,0.12969093379709107,0.12041391496904864,0.20798360444894284,0.051898741255612904,0.23226657868690198,0.14934658248941726,0.08132909091925805,200768,Kyle Lowry,5
0.07128464130989408,0.1529303940017355,0.05774662077617334,0.19433258907533255,0.05803587388564427,0.15948571447143053,0.1315419140755763,0.17464225240421333,201142,Kevin Durant,3
0.09086229086229086,0.12240203729565433,0.07672444480955119,0.13328130562173116,0.15398011993756675,0.11986910923081136,0.10723732851392426,0.19564336372847013,201143,Al Horford,1
0.05257353960612505,0.14665048450501142,0.0923748317616871,0.20982917012386182,0.027779851502360137,0.22381721267242427,0.20116289734636722,0.04581201248216301,201144,Mike Conley,5
0.10070632702649455,0.09627718957729829,0.07835997869344093,0.1300466263398688,0.14911672637854168,0.14022196764613598,0.1317650149218881,0.17350616941633162,201145,Jeff Green,1
0.08417264047116214,0.1033909396472233,0.08902406377346145,0.16786935958832805,0.052723162497397315,0.23730331062791876,0.18066569499390228,0.08485082840060681,201566,Russell Westbrook,5
0.11494152599463968,0.08570210002374826,0.06941758630549942,0.15558495814976905,0.2837091857258483,0.07707518501824738,0.053937605110235494,0.15963185367201244,201567,Kevin Love,1
0.14213282419767562,0.13172300696364486,0.11443668945629698,0.12110721161082812,0.1900781924627853,0.09114531756280353,0.0830963264594738,0.1262804312864918,201568,Danilo Gallinari,1
0.07693143889140064,0.1926658316101027,0.09997455301003302,0.18489091147165132,0.025713812774388965,0.16250250146381956,0.17855139921386096,0.07876955156474283,201569,Eric Gordon,6
0.06485511071099222,0.08875800929346926,0.0416353797156987,0.12510929685523817,0.2974766617603416,0.10581329806621746,0.07502693831375118,0.20132530528429132,201572,Brook Lopez,1
0.03727277245561064,0.06925237012462569,0.09546041922938334,0.18875883748959382,0.05051813471502591,0.31171642996483645,0.13206533219020639,0.11495570383071782,201587,Nicolas Batum,2
0.07240727794887297,0.1734823436053432,0.08279139191716893,0.19311693464583293,0.05422185274056719,0.1653239367430612,0.15670451754303094,0.10195174485612259,201935,James Harden,3
0.032658184798745105,0.1880697222535351,0.08311950339230134,0.2522530956779922,0.038544797293037135,0.18524774021716078,0.16460733944603556,0.055499616921192756,201939,Stephen Curry,6
0.10113595603254336,0.25048213221753807,0.1375633900686016,0.15140077231202845,0.04491596266608235,0.08656017985595314,0.16334264330020065,0.06459896354705234,201942,DeMar DeRozan,6
0.032238514368875905,0.08314709781601061,0.052134647780624196,0.14417719121619602,0.07065120961712901,0.3420260962310982,0.12831211810089613,0.14731312486916998,201950,Jrue Holiday,2
0.04695856806674749,0.09666910854245947,0.0625239055318211,0.20631041211516146,0.04793099647980915,0.3030184177941434,0.16345225052349066,0.07313634094636733,201976,Patrick Beverley,5
0.045427630361570624,0.09651012175715183,0.09088116650012952,0.20216128196587838,0.03665667443839976,0.20111764923577957,0.21558787609636948,0.11165759964472077,202330,Gordon Hayward,5
0.04852653463911665,0.10443107942648094,0.060140722862913186,0.201153429539167,0.05611263774546144,0.2523833146607063,0.16715810048288715,0.11009418064326736,202331,Paul George,2
0.04541193235084561,0.08011774852814339,0.06843039462006724,0.21872851589355133,0.02741215734803315,0.2867526655916801,0.20879114011074862,0.06435544555693053,202397,Ish Smith,5
0.05106778299738918,0.13614948275507005,0.10433222661300104,0.17196649177281953,0.028497095145151217,0.19899228194139035,0.24413365764586625,0.06486098112931238,202681,Kyrie Irving,5
0.1172871599665769,0.05024603100919134,0.09766966855445178,0.11010119766038436,0.20221892117723517,0.11140098412403676,0.09026088571163308,0.22081515179649056,202684,Tristan Thompson,1
0.0841263111235311,0.06332178597067709,0.0250685373715376,0.09133176905917101,0.31439983425760415,0.07115841407654024,0.05568029062736388,0.294913057513575,202685,Jonas Valančiūnas,1
0.07386104886420858,0.12912091770101292,0.06292944511428131,0.19723429823276753,0.06449826767483242,0.21232267991806816,0.16008209235188972,0.09995125014293942,202691,Klay Thompson,3
0.06028322221277976,0.10307171717952084,0.14419919807785905,0.22869459745517193,0.03128500683719744,0.18514898909911232,0.1953507057378379,0.05196656340052071,202692,Alec Burks,5
0.09935267494906147,0.1908917698960794,0.0791575758668566,0.13560167571238813,0.09803037679486948,0.11103698227519428,0.14774277694633273,0.13818616755921792,202694,Marcus Morris Sr.,4
0.045285570107588054,0.12056798388322351,0.06739548060024861,0.16383700857665015,0.057934278154675854,0.22378003873325877,0.1606300194445635,0.1605696204997915,202695,Kawhi Leonard,3
0.07361700457162028,0.059804002041348,0.06478960197282724,0.13684882961524872,0.3357981777757158,0.08061897097502918,0.046822527631358246,0.20170088541685255,202696,Nikola Vučević,1
0.05124726468481165,0.0979735730975773,0.06367403827196402,0.18614198067076468,0.09166648772841467,0.19852776113109796,0.12034801212615731,0.19042088228921236,202699,Tobias Harris,3
0.058701150026280804,0.14641851710179066,0.09192504877773588,0.15799032976226185,0.04152643354257079,0.21567327035111716,0.23319197650963308,0.054573273928609764,202704,Reggie Jackson,5
0.03988895544292941,0.11660562605126526,0.061852525578485994,0.17789452977360085,0.05976380928804612,0.27525744257135343,0.16097924324372112,0.10775786805059775,202710,Jimmy Butler,2
