PC1,PC2,PC3,PC4,PLAYER_ID,PLAYER_NAME,Cluster
-0.3885642655423083,1.0554451588654126,-1.3610652631509308,-0.7314212714640995,2544,LeBron James,3
-0.8163519810821751,2.162828960780862,1.0801537215588846,-0.27753843821673047,101108,Chris Paul,3
-1.468916801078634,-0.14447005941098742,-1.7970566834876476,1.008077138604458,200768,Kyle Lowry,5
-0.5850518350913537,-0.3862877175283898,-1.292605519965894,-0.9279683483474169,201142,Kevin Durant,2
1.3044931989225845,0.24948036480404404,-0.9992164791295536,-0.243595383316649,201143,Al Horford,3
-1.1807766294567599,0.8894452238090372,0.8979176697332669,-0.14269775056372,201144,Mike Conley,3
0.9074287428027774,0.40018950024296224,0.41356930869680425,-0.08881554935634901,201145,Jeff Green,3
-0.7320796726431685,0.20278846297938483,0.9767291300954754,-0.6762514855163596,201566,Russell Westbrook,3
3.0773502211636083,1.148653778187547,-0.06178126408338113,0.17286268251711845,201567,Kevin Love,1
1.6824344159144826,2.3174069993904003,0.15657383672341368,-0.262889652967774,201568,Danilo Gallinari,3
-1.0216240422248126,1.5099379867177787,0.2926024480045679,-0.9555379896605762,201569,Eric Gordon,3
3.4288156975716655,-0.3022787647244334,-0.5508735177898806,0.4214576579862855,201572,Brook Lopez,1
-0.901068308958443,-1.234377236406818,-0.5233050859280091,0.031760701581543004,201587,Nicolas Batum,2
-0.6307034598898394,0.588632927451341,-0.9084712138362991,-0.8379410808823117,201935,James Harden,3
-1.467643871616599,0.8895978219129874,-1.4178849139683622,0.756866183730541,201939,Stephen Curry,5
-1.1514041345457302,2.3899387381741835,-2.614081813120503,-0.4898336920085881,201942,DeMar DeRozan,5
-0.604109069838738,-2.2355148270437564,-0.0898616749005274,0.21678628115475954,201950,Jrue Holiday,2
-1.2276840044540618,-1.099222202448365,0.9953262095771073,0.9608283411450486,201976,Patrick Beverley,4
-1.2066706028948486,-0.9404506426951704,-1.785158549809624,-0.4079444095106797,202330,Gordon Hayward,2
-0.5326936958796287,-1.3778296739970037,-0.7062411510038442,-0.6210582742997708,202331,Paul George,2
-1.4921340567507284,-0.36966843222992896,1.4238952787659511,1.666016357010675,202397,Ish Smith,4
-1.071840733548709,0.7699191908059939,1.122493178479258,-0.6172557049324423,202681,Kyrie Irving,3
2.0888246373486283,-0.23367102546178387,-0.6580804246927356,0.3859892685972583,202684,Tristan Thompson,1
4.983222373886819,-0.7053809020551591,-1.049878632932972,0.7874074390615012,202685,Jonas Valančiūnas,1
-0.6509871643305731,-0.30759813254443313,-0.779509133609305,-0.6128140518614943,202691,Klay Thompson,2
-1.5459504278638505,0.8926484893665412,-0.7837573855682002,0.98413003402978,202692,Alec Burks,5
-0.00703917888131837,1.1915173436213566,-1.097353856299625,-0.020287375590652936,202694,Marcus Morris Sr.,3
-0.4660225063940797,-1.1134361354760296,-0.650058433227928,-0.5757159244414164,202695,Kawhi Leonard,2
3.7046065276882185,-0.16046919329490553,-1.3852900368130765,1.6492028128129566,202696,Nikola Vučević,1
-0.28662117949416865,-1.5303208949505696,-0.9741263171836895,-0.2692303267622505,202699,Tobias Harris,2
-0.9872417630286724,1.1188934742778995,1.8585464399200622,0.2523474982871139,202704,Reggie Jackson,3
